A (a),(ā),(eh´-ee)
assaultive,ə-sôl´-tiv,uh-saw´-l-tih-v
assaults,ə-sôlts,uh-saw´-l-ts
assay (assays),ə-sā´ (as´-sā) (z),uh-seh´-ee (åh´-seh-ee) (z)
assayed,as´-sād,åh´-seh-ee-d
assayer (assayers),ə-sā´-ẽr (z),uh-seh´-ee-erh (z)
assaying,ə-sā´-iŋ (as´-ā-iŋ),uh-seh´-ee-ih-eeng (åh´-seh-ee-ih-eeng)
assegai,as´-ə-gī,åh´-suh-gah-ee
assemblage,ə-səm´-blij,uh-seh´-m-blih-j
assemble (assembles),ə-səm´-b'l (z),uh-seh´-m-bôô-l (z)
assembled,ə-səm´-b'ld,uh-seh´-m-bôô-l-d
assembler (assembers),ə-səm´-b'lẽr (z),uh-seh´-m-bôô-lerh (z)
assemblies,ə-səm´-blēz,uh-seh´-m-blee-z
assembling,ə-səm´-b'liŋ (ə-səm´-bliŋ),uh-seh´-m-bôô-lih-eeng (uh-seh´-m-blih-eeng)
assembly,ə-səm´-bli,uh-seh´-m-blee
assent,ə-sənt´,uh-seh´-n-t
assentation,as´-ən-tā′-shən,åh´-seh-teh′-ee-shuh-n
assented,ə-sənt´-ed,uh-seh´-n-teh-d
assenter (assenters),ə-sənt´-ẽr (z),uh-seh´-n-terh (z)
assenting,ə-sənt´-iŋ,uh-seh´-n-tih-eeng
assents,ə-sənts´,uh-seh´-n-ts
assert,ə-sũrt´,uh-serh´-t
asserted,ə-sũrt´-ed,uh-serh´-teh-d
asserter (asserters),ə-sũrt´-ẽr (z),uh-serh´-terh (z)
asserting,ə-sũrt´-iŋ,uh-serh´-tih-eeng
assertion,ə-sũr´-shən,uh-serh´-shuh-n
assertive,ə-sũr´-tiv,uh-serh´-tih-v
assertively,ə-sũr´-tiv-li,uh-serh´-tih-v-lee
assertiveness,ə-sũr´-tiv-nes,uh-serh´-tih-v-neh-s
assertor (assertors),ə-sũrt´-ẽr (z),uh-serh´-terh (z)
asserts,ə-sũrts´,uh-serh´-ts
asses,as´-ez,åh´-seh-z
assess,ə-səs´,uh-seh´-s
assessability,ə-səs´-ə-bil′-ə-ti,uh-seh´-suh-bih′-lih-tee
assessable,ə-səs´-ə-b’l,uh-seh´-suh-bôô-l
assessably,ə-səs´-ə-bli,uh-seh´-suh-blee
assessed,ə-səsd´,uh-seh´-sd
assesses,ə-səs´-ez,uh-seh´-seh-z
assessing,ə-səs´-iŋ,uh-seh´-sih-eeng
assessment,ə-səs´-mənt,uh-seh´-smeh-n-t
assessments,ə-səs´-mənts,uh-seh´-smeh-n-ts
assessor,ə-səs´-ẽr,uh-seh´-serh
assessors,ə-səs´-ẽrz,uh-seh´-serh-z
asset (assets),as´-ət (s),åh´-seh-t (s)
assetless,as´-ət-les,åh´-seh-t-leh-s
asseverate,ə-səv ′-ẽr-āt´,uh-seh′-verh-eh´-ee-t
asseverates,ə-səv ′-ẽr-āts´,uh-seh′-verh-eh´-ee-ts
asseverated,ə-səv ′-ẽr-āt´-ed,uh-seh′-verh-eh´-ee-teh-d
asseverating,ə-səv ′-ẽr-āt´-iŋ,uh-seh′-verh-eh´-ee-tih-eeng
asseveration,ə-səv´-ẽr-ā′-shən,uh-seh´-verh-eh′-ee-shuh-n
assibilate (assibilates),ə-sib′-ə-lāt´ (s),uh-sih′-bih-leh´-ee-t (s)
assibilated,ə-sib′-ə-lāt´-ed,uh-sih′-bih-leh´-ee-teh-d
assibilating,ə-sib′-ə-lāt´-iŋ,uh-sih′-bih-leh´-ee-tih-eeng
assiduities,as´-ə-dū′-ə-tēz,åh´-sih-dyoo′-ih-tee-z
assiduity,as´-ə-dū′-ə-ti,åh´-sih-dyoo′-ih-tee
assiduous,ə-sij´-ū-əs,uh-sih´-j-yoo-uh-s
assiduously,ə-sij´-ū-əs-li,uh-sih´-j-yoo-uh-s-lee
assiduousness,ə-sij´-ū-əs-nes,uh-sih´-j-yoo-uh-s-neh-s
assign,ə-sīn´,uh-sah´-ee-n
assignability,ə-sīn´-ə-bil′-ə-ti,uh-sah´-ee-nuh-bih′-lih-tee
assignable,ə-sīn´-ə-b’l,uh-sah´-ee-nuh-bôô-l
assignably,ə-sīn´-ə-bli,uh-sah´-ee-nuh-blee
assignation,as´-ig-nā′-shən,åh´-sih-g-neh′-ee-shuh-n
assigned,ə-sīnd´,uh-sah´-ee-n-d
assignee (assignees),ə-sī-nē´ (z),uh-sah-ee-nee´ (z)
assigner (assigners),ə-sīn´-ẽr (z),uh-sah´-ee-nerh (z)
assigning,ə-sīn´-iŋ,uh-sah´-ee-nih-eeng
assignor (assignors),ə-sīn´-ôr (z),uh-sah´-ee-noh-erh (z)
assignment,ə-sīn´-mənt,uh-sah´-ee-n-meh-n-t
assignments,ə-sīn´-mənts,uh-sah´-ee-n-meh-n-ts
assigns,ə-sīnz´,uh-sah´-ee-n-z
assimilate,ə-sim′-ə-lāt´,uh-sih′-mih-leh´-ee-t
assimilated,ə-sim′-ə-lāt´-ed,uh-sih′-mih-leh´-ee-teh-d
assimilates,ə-sim′-ə-lāts´,uh-sih′-mih-leh´-ee-ts
assimilating,ə-sim′-ə-lāt´-iŋ,uh-sih′-mih-leh´-ee-tih-eeng
assimilation,ə-sim´-ə-lā′-shən,uh-sih´-mih-leh′-ee-shuh-n
assimilative,ə-sim´-ə-lā′-tiv,uh-sih´-mih-leh′-ee-tih-v
assimilator (assimilators),ə-sim′-ə-lāt´-ẽr (z),uh-sih′-mih-leh´-ee-terh (z)
assimilatory,ə-sim′-ə-lə-tôr´-i,uh-sih′-mih-luh-toh´-ree
assist (assists),ə-sist´(s),uh-sih´-st (s)
assistance,ə-sist´-əns,uh-sih´-steh-n-s
assistant (asst.),ə-sist´-ənt,uh-sih´-steh-n-t
assistants,ə-sist´-ənts,uh-sih´-steh-n-ts
assisted,ə-sist´-ed,uh-sih´-s-teh-d
assisting,ə-sist´-iŋ,uh-sih´-stih-eeng
assize (assizes),ə-sīz´ (ə-sīz´-ez),uh-sah´-ee-z (uh-sah´-ee-zeh-z)
associable,ə-sō′-shi-ə-b’l,uh-soh′-oo-shee-uh-bôô-l
associate,ə-sō′-shi-āt´ (ə-sō′-shi-it´),uh-soh′-oo-shee-eh´-ee-t (uh-soh′-oo-shee-ih´-t)
associated,ə-sō′-shi-āt´-ed,uh-soh′-oo-shee-eh´-ee-teh-d
associates,ə-sō′-shi-āts´ (ə-sō′-shi-its´),uh-soh′-oo-shee-eh´-ee-ts (uh-soh′-oo-shee-ih´-ts)
associating,ə-sō′-shi-āt´-iŋ,uh-soh′-oo-shee-eh´-ee-tih-eeng
association (assn.),ə-sō´-si-ā′-shən,uh-soh´-oo-see-eh′-ee-shuh-n
associational,ə-sō´-si-ā′-shən-əl,uh-soh´-oo-see-eh′-ee-shuh-nuh-l
associationism,ə-sō´-si-ā′-shən-iz’m,uh-soh´-oo-see-eh′-ee-shuh-nih-zih-m
associations,ə-sō´-si-ā′-shənz,uh-soh´-oo-see-eh′-ee-shuh-n-z
associative,ə-sō′-shi-ə-tiv´,uh-soh′-oo-shee-uh-tih-v
associatively,ə-sō′-shi-ā′-tiv´-li,uh-soh′-oo-shee-eh´-ee-tih-v-lee
assonance,as´-ə-nəns,åh´-suh-neh-n-s
assort,ə-sôrt´,uh-soh´-erh-t
assorted,ə-sôrt´-ed,uh-soh´-erh-teh-d
assorting,ə-sôrt´-iŋ,uh-soh´-erh-tih-eeng
assortment,ə-sôrt´-mənt,uh-soh´-erh-t-meh-n-t
assortments,ə-sôrt´-mənts,uh-soh´-erh-t-meh-n-ts
assorts,ə-sôrts´,uh-soh´-erh-ts
assuage,ə-swāj´,uh-sweh´-ee-j
assuaged,ə-swājd´,uh-sweh´-ee-jd
assuagement,ə-swāj´-mənt,uh-sweh´-ee-j-meh-n-t
assuages,ə-swāj´-ez,uh-sweh´-ee-jeh-z
assuaging,ə-swāj´-iŋ,uh-sweh´-ee-jih-eeng
assuasive,ə-swā´-siv,uh-sweh´-ee-sih-v
assume,ə-sōōm´ (as-ūm´),uh-soo´-m (åh-syoo´-m)
assumed,ə-sōōmd´,uh-soo´-m-d
assumes,ə-sōōmz´,uh-soo´-m-z
assuming,ə-sūm´-iŋ,uh-syoo´-mih-eeng
assumpsit,ə-sump´-sit,uh-suh´-mp-sih-t
assumption (Assumption),ə-sump´-shən,uh-suh´-mp-shuh-n
assumptions,ə-sump´-shənz,uh-suh´-mp-shuh-n-z
assumptive,ə-sump´-tiv,uh-suh´-mp-tih-v
assurance,ə-shoor´-əns,uh-shôô´-erh-eh-n-s
assurances,ə-shoor´-əns-ez,uh-shôô´-erh-eh-n-seh-z
assure (assures),ə-shoor´ (z),uh-shôô´-erh (z)
assured,ə-shoord´,uh-shôô´-erh-d
assuredly,ə-shoor´-ed-li,uh-shôô´-erh-eh-d-lee (uh-shôô´-reh-d-lee)
assuredness,ə-shoor´-ed-nes,uh-shôô´-erh-eh-d-neh-s
assurer (assurers),ə-shoor´-ẽr (z),uh-shôô´-erh-erh (z) (uh-shôô´-rerh) (z)
assuring,ə-shoor´-iŋ,uh-shôô´-erh-ih-eeng
assurgent (assurgents),ə-sũr´-jənt (s),uh-serh´-jeh-n-t (s)
Assyria,ə-sêr´-i-ə,uh-sih´-ree-uh
Assyrian (Assyrians),ə-sêr´-i-ən (z),uh-sih´-ree-eh-n (z)
Assyriologist,ə-sêr´-i-ol′-ə-jist,uh-sih´-ree-ah′-luh-jih-st
Assyriology,ə-sêr´-i-ol′-ə-ji,uh-sih´-ree-ah′-luh-jee
astarte,as-tär´-ti,åh-stah´-erh-tee
astatic,ā-stat´-ik,eh-ee-ståh´-tih-k
astatically,ā-stat´-ik-ə-li (ā-stat´-ik-li),eh-ee-ståh´-tih-kuh-lee (eh-ee-ståh´-tih-klee)
astaticism,ā-stat´-ə-siz-‘m,eh-ee-ståh´-tih-sih-zih-m
astatine (At) (85),as´-tə-tēn,åh´-stih-tee-n
aster (asters),as´-tẽr (z),åh´-sterh (z)
asteria,as-têr´-i-ə,åh-stih´-ree-uh
asteriated,as-têr′-i-āt´-əd,åh-stih′-ree-eh´-ee-teh-d
asterisk (asterisks) (*),as´-tẽr-isk (s),åh´-sterh-ih-sk (s)
asterism,as´-tẽr-iz-‘m,åh´-sterh-ih-zih-m
astern,ə-stũrn´,uh-sterh´-n
asternal,ə-stũrn´-əl,uh-sterh´-nuh-l
asteroid (asteroids),as′-tẽr-oid´(z),åh′-sterh-oh´-ee-d (z)
asteroidal,as´-tẽr-oid′-əl,åh´-sterh-oh′-ee-duh-l
asthenia,az-thē´-ni-ə,åh-z-thee´-nee-uh
asthenic,az-thən´-ik,åh-z-theh´-nih-k
asthenosphere,as-thən′-ə-sfêr´,åh-s-theh′-noh-sfih´-erh
asthma,az´-mə,åh´-z-muh
asthmatic,az-mat´-ik,åh-z-måh´-tih-k
astigmatic,as´-stig-mat′-ik,åh´-stih-g-måh′-tih-k
astigmatically,as´-stig-mat′-ik-əl-li (as´-stig-mat′-ik-li),åh´-stih-g-måh′-tih-kuh-lee (åh´-stih-g-måh′-tih-klee)
astigmatism,ə-stig′-mə-tiz´-'m,uh-stih′-g-muh-tih´-zih-m
astir,ə-stũr´,uh-sterh´
astomatal,ā-stäm´-ə-təl,eh-ee-stah´-muh-tuh-l
astomatous,ā-stäm´-ə-təs,eh-ee-stah´-muh-tuh-s
astonish,ə-ston´-ish,uh-stah´-nih-sh
astonished,ə-ston´-ishd,uh-stah´-nih-shd
astonishes,ə-ston´-ish-ez,uh-stah´-nih-sheh-z
astonishing,ə-ston´-ish-iŋ,uh-stah´-nih-shih-eeng
astonishingly,ə-ston´-ish-iŋ-li,uh-stah´-nih-shih-eeng-lee
astonishment (astonishments),ə-ston´-ish-mənt (s),uh-stah´-nih-sh-meh-n-t (s)
astound (astounds),ə-stound´ (z),uh-stah´-oo-n-d (z)
astounded,ə-stound´-ed,uh-stah´-oo-n-deh-d
astounding,ə-stound´-iŋ,uh-stah´-oo-n-dih-eeng
astoundingly,ə-stound´-iŋ-li,uh-stah´-oo-n-dih-eeng-lee
astraddle (astraddles),ə-strad´-‘l (z),uh-stråh´-dôô-l (z)
astraddled,ə-strad´-‘ld,uh-stråh´-dôô-l-d
astraddling,ə-strad´-‘liŋ,uh-stråh´-dôô-lih-eeng
astragal (astragals),as´-trə-gəl (z),åh´-struh-guh-l (z)
astragalus,a-strag´-ə-lus,åh-stråh´-guh-luh-s
astrakhan (astrachan),as´-trə-kən,åh´-struh-keh-n
astral,as´-trəl,åh´-struh-l
astrally,as´-trəl-li,åh´-struh-lee
astray,ə-strā´,uh-streh´-ee
astrayed,ə-strād´,uh-streh´-ee-d
astride (astrides),ə-strīd´ (z),uh-strah´-ee-d (z)
astringency,ə-strin´-jən-si,uh-strih´-n-jeh-n-see
astringent,ə-strin´-jənt,uh-strih´-n-jeh-n-t
astro-,as′-strō-,åh′-stroh-oo-
Astro-Turf ™,/ tũrf ´,/ terh´-f
astrodome (astrodomes),as′-trō-dōm´ (z),åh′-stroh-oo-doh´-oo-m (z)
astrodynamics,as´-trō-dī-nam′-iks,åh´-stroh-oo-dah-ee-nåh′-mih-ks
astrogate (astrogates),as′-strə-gāt´ (s),åh′-stroh-geh´-ee-t (s)
astrogated,as′-strə-gāt´-ed,åh′-stroh-geh´-ee-teh-d
astrogating,as′-strə-gāt´-iŋ,åh′-stroh-geh´-ee-tih-eeng
astrogation,as´-strə-gā′-shən,åh´-stroh-geh′-ee-shuh-n
astrogator (astrogators),as′-strə-gāt´-ẽr (z),åh′-stroh-geh´-ee-terh (z)
astrogeology,as´-strə-jē-ol′-ə-ji,åh´-stroh-jee-ah′-luh-jee
astrolabe,as′-strə-lāb´,åh′-stroh-leh´-ee-b
astrologer (astrologers),as-trol´-ə-jẽr (z),åh-strah´-luh-jerh (z)
astrologic,as´-trə-loj′-ik,åh´-stroh-lah′-jih-k
astrological,as´-trə-loj′-ik-əl,åh´-stroh-lah′-jih-kuh-l
astrologically,as´-trə-loj′-ik-əl-li (as´-trə-loj′-ik-li),åh´-struh-lah′-jih-kuh-lee (åh´-struh-lah′-jih-klee)
astrology,as-trol´-ə-ji,åh-strah´-luh-jee
astrometry,as-trom´-ə-tri,åh-strah´-mih-tree
astronaut (astronauts),as′-strō-nôt´ (s),åh′-stroh-oo-naw´-t (s)
astronautics,as´-strō-nôt′-iks,åh´-stroh-oo-naw′-tih-ks
astronautical,as´-strō-nôt′-ik-əl,åh´-stroh-oo-naw′-tih-kuh-l
astronautically,as´-strō-nôt′-ik-əl-li (as´-strō-nôt′-ik-li),åh´-stroh-oo-naw′-tih-kuh-lee (åh´-stroh-oo-naw′-tih-klee)
astronomer (astronomers),as-tron´-ə-mẽr (z),åh-strah´-nuh-merh (z)
astronomic,as´-trə-nom′-ik,åh´-stroh-nah′-mih-k
astronomical,as´-trə-nom′-ə-kəl,åh´-stroh-nah′-mih-kuh-l
astronomically,as´-trə-nom′-ə-kə-li (as´-trə-nom′-ə-kli),åh´-struh-nah′-mih-kuh-lee (åh´-struh-nah′-mih-klee)
Astronomy,as-tron´-ə-mi,åh-strah´-nuh-mee
astrophysicist (astrophysicists),as´-strō-fiz′-ə-sist (s),åh´-stroh-oo-fih′-zih-sih-st (s)
astrophysics,as´-strō-fiz′-iks,åh´-stroh-oo-fih′-zih-ks
astute,ə-stōōt´,uh-stoo´-t
astutely,ə-stōōt´-li,uh-stoo´-t-lee
astuteness,ə-stōōt´-nes,uh-stoo´-t-neh-s
asunder,ə-sun´-dẽr,uh-suh´-n-derh
asylum (asylums),ə-sī´-ləm (z),uh-sah´-ee-luh-m (z)
asymmetry,ā-sim´-ə-tri,eh-ee-sih´-mih-tree
asymmetric,ā´-sə-mət′-rik,eh´-ee-sih-meh′-trih-k
asymmetrical,ā´-sə-mət′-ri-kəl,eh´-ee-sih-meh′-trih-kuh-l
asymmetrically,ā´-sə-mət′-rik-əl-li (ā´-si-mət′-rik-li),eh´-ee-sih-meh′-trih-kuh-lee (eh´-ee-sih-meh′-trih-klee)
asymptomatic,ā-simp´-tə-mat′-ik,eh-ee-sih´-mp-toh-måh′-tih-k
asymptomatically,ā-simp´-tə-mat′-ik-əl-li (ā-simp´-tə-mat′-ik-li),eh-ee-sih´-mp-tih-måh′-tih-kuh-lee (eh-ee-sih´-mp-tih-måh′-tih-klee)
asymptote,as′-im-tōt´,åh′-sih-m-toh´-oo-t
asymptotic,as´-im-tot′-ik,åh´-sih-m-tah′-ih-k
asymptotical,as´-im-tot′-ik-əl,åh´-sih-m-tah′-ih-kuh-l
asymptotically,as´-im-tot′-ik-əl-li (as´-im-tot′-ik-li),åh´-sih-m-tah′-tih-kuh-lee (åh´-sih-m-tah′-tih-klee)
asynchronism,ā-siŋ′-krə-niz´-‘m,eh-ee-sih′-eeng-kroh-nih´-zih-m
asynchronous,ā-siŋ´-krə-nəs,eh-ee-sih´-eeng-kroh-nuh-s
asyndetic,as´-in-dət′-ik,åh´-sih-n-deh′-tih-k
asyndetically,as´-in-dət′-ik-əl-li(as´-in-dət′-ik-li),åh´-sih-deh′-tih-kuh-lee (åh´-sih-deh′-tih-klee)
asyndeton,ə-sin′-də-ton´,uh-sih′-n-dih-tah´-n
at,at,åh´-t
at all,at´ ôl ′,åh´-t aw ′- l
atta boy,at´- ə boi ´,åh´- tuh boh´- ee
at home,at hōm´,åh- t hoh´- oo-m
at once,at wuns´,åh- t wuh´- n- s
atabrine,at′-ə-brēn´,åh′-tuh-bree´-n
atacamite,at´-ə-kam′-īt (ə-tak´-ə-mīt),åh´-tuh-kåh′-muh-ee-t (uh-tåh´-kuh-muh-ee-t)
ataghan,at´-ə-gan,åh´-tuh-gåh-n
ataman (atamans),at´-ə-man (z),åh´-tuh-måh-n (z)
atamasco,at´-ə-mas′-kō,åh´-tuh-måh′-skoh-oo
/ lily,/ lil´- i,/ lih´- lee
ataractic,at´-ə-rak′-tik,åh´-tuh-råh′-k-tih-k
ataraxia,at´-ə-rak′-si-ə,åh´-tuh-råh′-k-see-uh
ataraxy,at´-ə-rak′-si,åh´-tuh-råh′-k-see
atavic,ə-tav´-ik,uh-tåh´-vih-k
atavism,at´-ə-viz-'m,åh´-tuh-vih-zih-m
atavist,at´-ə-vist,åh´-tuh-vih-st
atavistic,at´-ə-vis′-tik,åh´-tuh-vih′-stih-k
atavistically,at´-ə-vis′-tik-əl-li (at´-ə-vis′-tik-li),åh´-tuh-vih′-stih-kuh-lee (åh´-tuh-vih′-stih-klee)
ataxia,ə-tak´-si-ə,uh-tåh´-k-see-uh
ataxic,ə-tak´-sik,uh-tåh´-k-sih-k
ate,āt,eh´-ee-t
atelectases,at´-ə-lək′-tə-sēz,åh´-tih-leh′-k-tuh-see-z
atelectasis,at´-ə-lək′-tə-sis,åh´-tih-leh′-k-tuh-sih-s
atelier,at′-il-yā´,åh′-tih-l-yeh´-ee
a tempo,ä təmp´-ō,ah teh´-m-poh-oo
Athapascan (Athapaskan),ath´-ə-pas′-kən,åh´-thuh-påh′-skeh-n
athar,ath´-är,åh´-thah-erh
atheism,ā′-thē-iz´-'m,eh′-ee-thee-ih´-zih-m
atheist (atheists),ā´-thē-ist (s),eh´-ee-thee-ih-st (s)
atheistic,ā´-thē-is′-tik,eh´-ee-thee-ih′-stih-k
atheistical,ā´-thē-is′-tik-əl,eh´-ee-thee-ih′-stih-kuh-l
atheistically,ā´-thē-is′-tik-əl-li (ā´-thē-is′-tik-li),eh´-ee-thee-ih′-stih-kuh-lee (eh´-ee-thee-ih′-stih-klee)
atheling,ath′-ə-liŋ´,åh′-thih-lih´-eeng
Athena,ə-thē´-nə,uh-thee´-nuh
athenaeum,ath´-ə-nē′-əm,åh´-thih-nee′-uh-m
Athenia,ə-thē´-ni-ə,uh-thee´-nee-uh
Athenian,ə-thē´-ni-ən,uh-thee´-nee-eh-n
atheroma (atheromas),ath´-ə-rō′-mə (z),åh´-thih-roh′-oo-muh (z)
atheromata,ath´-ə-rō-mä′-tə,åh´-thih-roh-oo-mah′-tuh
atherosclerosis,ath´-ə-rō-sklə-rō′-sis,åh´-thih-roh-oo-skleh-roh′-oo-sih-s
atherosclerotic,ath´-ə-rō-sklə-rot′-ik,åh´-thih-roh-oo-skleh-rah′-tih-k
athetosis,ath´-ə-tō′-sis,åh´-thih-toh′-oo-sih-s
athirst,ə-thũrst´,uh-therh´-st
athlete (athletes),ath´-lēt (s),åh´-th-lee-t (s)
athletic (athletics),ath-lət´-ik (s),åh-th-leh´-tih-k (s)
athletical,ath-lət´-ik-əl,åh-th-leh´-tih-kuh-l
athletically,ath-lət´-ik-əl-li (ath-lət´-ik-li),åh-th-leh´-tih-kuh-lee (åh-th-leh´-tih-klee)
athleticism,ath-lət′-i-siz´-‘m,åh-th-leh′-tih-sih´-zih-m
athodyd,ath´-ə-did,åh´-thoh-dih-d
athrocyte,ath′-rə-sīt´,åh′-throh-suh´-ee-t
athrocytosis,ath´-rə-sə-tō′-sis,åh´-thruh-sih-toh′-oo-sih-s
athwart,ə-thwôrt´,uh-thwoh´-erh-t
atilt,ə-tilt´,uh-tih´-l-t
atingle,ə-tiŋ´-g'l,uh-tih´-eeng-gôô-l
-ation,-ā′-shən,-eh′-ee-shuh-n
-ative,-ā′-tiv (-ə-tiv´),-eh′-ee-tih-v (-uh-tih´-v)
Atlantean,at-lan´-ti-ən,åh-t-låh´-n-tee-eh-n
atlantes,at-lan´-tēz,åh-t-låh´-n-tee-z
Atlantic (Atlantics),at-lan´-tik (s),åh-t-låh´-n-tih-k (s)
/ Ocean,/ ō´-shən,/ oh´-oo-sheh-n (oh´-oo-shuh-n)
Atlantis,at-lan´-tis,åh-t-låh´-n-tih-s
Atlas (atlas),at´-ləs,åh´-t-leh-s
Atlases,at´-ləs-ez,åh´-t-lih-seh-z
ATMS (automated teller machines),ā ti əm´ (z),eh-ee tee eh´-m (z)
atmolysis,at-mol´-ə-sis,åh-t-mah´-lih-sih-s
atmometer,at-mom´-ə-tẽr,åh-t-mah´-mih-terh
atmometric,at-mə-mət´-rik,åh-t-moh-meh´-trih-k
atmometry,at-mom´-ə-tri,åh-t-mah´-mih-tree
atmosphere (atmospheres),at′-məs-fêr´ (z),åh′-t-muh-s-fih´-erh (z)
atmospheric (atmospherics),at´-məs-fêr′-ik (s),åh´-t-muh-s-fih′-rih-k (s)
atmospherical,at´-məs-fêr′-ik-əl,åh´-t-muh-s-fih′-rih-kuh-l
atmospherically,at´-məs-fêr′-ik-əl-li (at´-məs-fêr′-ik-li),åh´-t-muh-s-fih′-rih-kuh-lee (åh´-t-muh-s-fih′-rih-klee)
atoll (atolls),ə-tōl´ (z),uh-toh´-oo-l (z)
atom,at´-əm,åh´-tuh-m
/ smasher,/ smash´-ẽr,/ småh´-sherh
atomic (atomics),ə-tom´-ik (s),uh-tah´-mih-k (s)
atomical,ə-tom´-ik-əl,uh-tah´-mih-kuh-l
atomically,ə-tom´-ik-əl-li (ə-tom´-ik-li),uh-tah´-mih-kuh-lee (uh-tah´-mih-klee)
atomicity,at´-om-is′-ə-ti,åh´-tuh-mih′-sih-tee
atomic pile,ə-tom′-ik pīl´,uh-tah′-mih-k pah´-ee-l
atomies,at´-əm-ēz,åh´-tuh-mee-z
atomism,at′-əm-iz´-‘m,åh′-tuh-mih´-zih-m
atomist,at´-əm-ist,åh´-tuh-mih-st
atomistic,at´-əm-ist′-ik,åh´-tuh-mih′-stih-k
atomize,at′-əm-īz´,åh′-tuh-mah´-ee-z
atomized,at′-əm-īzd´,åh′-tuh-mah´-ee-zd
atomizer (atomizers),at′-əm-īz´-ẽr (z),åh′-tuh-mah´-ee-zerh (z)
atomizes,at′-əm-īz´-ez,åh′-tuh-mah´-ee-zeh-z
atomizing,at′-əm-īz´-iŋ,åh′-tuh-mah´-ee-zih-eeng
atoms,at´-əmz,åh´-tuh-m-z
atomy,at´-əm-i,åh´-tuh-mee
atonal,ā-tō´-nəl,eh-ee-toh´-oo-nuh-l
atonally,ā-tō´-nəl-li,eh-ee-toh´-oo-nuh-lee
atonalistic,ə-tōn´-ə-lis′-tik,uh-toh´-oo-nuh-lih′-stih-k
atonality,ā´-tō-nal′-ə-ti,eh´-ee-toh-oo-nåh′-lih-tee
atone (atones),ə-tōn´(z),uh-toh´-oo-n (z)
atoned,ə-tōnd´,uh-toh´-oo-n-d
atonement (atonements),ə-tōn´-mənt (s),uh-toh´-oo-n-meh-n-t (s)
atoner (atoners),ə-tōn´-ẽr (z),uh-toh´-oo-nerh (z)
atonic,ə-ton´-ik (ā-ton´-ik),uh-tah´-nih-k (eh-ee-tah´-nih-k)
atoning,ə-tōn´-iŋ,uh-toh´-oo-nih-eeng
atony,at′-ə-nē,åh′-toh-nee
atop,ə-top´,uh-tah´-p
ATP (adenosine triphosphate),ā ti pi,eh-ee tee pee
atrabiliar,a´-trə-bil′-yẽr,åh´-truh-bih′-l-yerh
atrabiliious,a´-trə-bil′-yəs,åh´-truh-bih′-l-yuh-s
atria (atrial),ā´-trē-ə (ā´-trē-əl),eh´-ee-tree-uh (eh´-ee-tree-uh-l)
atrio-,ā´-trē-ō-,eh´-ee-tree-oh-oo-
atrioventricular,/ vən-trik′-ū-lẽr,/ veh-n-trih′-kyoo-lerh
atrip,ə-trip´,uh-trih´-p
at risk,at risk´,åh-t rih´-sk
atrium (atriums),ā´-trē-əm (z),eh´-ee-tree-uh-m (z)
atrocious,ə-trō´-shəs,uh-troh´-oo-shuh-s
atrociously,ə-trō´-shəs-li,uh-troh´-oo-shuh-slee
atrociousness,ə-trō´-shəs-nes,uh-troh´-oo-shuh-s-neh-s
atrocities,ə-tros´-ə-tēz,uh-trah´-sih-tee-z
atrocity,ə-tros´-ə-ti,uh-trah´-sih-tee
atrophic,ə-trof ´-ik,uh-trah´-fih-k
atrophies,at´-rō-fēz,åh´-troh-oo-fee-z
atrophy,at´-rō-fi,åh´-troh-oo-fee
atrophying,at´-rō-fi-iŋ,åh´-troh-oo-fee-ih-eeng
atropine,at′-trə-pēn´ (at′-trə-pin´),åh′-troh-pee´-n (åh′-troh-pih´-n)
attacca,ə-tä´-kə,uh-tah´-kuh
attach,ə-tach´,uh-tåh´-ch
attachable,ə-tach´-ə-b’l,uh-tåh´-chuh-bôô-l
attaché (Attachés),at´-ə-shā′ (z),åh´-tuh-sheh′-ee (z)
attached,ə-tachd´,uh-tåh´-chd
attaches,ə-tach´-ez,uh-tåh´-cheh-z
attaching,ə-tach´-iŋ,uh-tåh´-chih-eeng
attachment (attachments),ə-tach´-mənt (s),uh-tåh´-ch-meh-n-t (s)
attack (attacks),ə-tak´ (s),uh-tåh´-k (s)
attacked,ə-takd´,uh-tåh´-kd
attacker (attackers),ə-tak´-ẽr (z),uh-tåh´-kerh (z)
attacking,ə-tak´- iŋ,uh-tåh´-kih-eeng
attain (attains),ə-tān´ (z),uh-teh´-ee-n (z)
attainability,ə-tān´-ə-bil′-ə-ti,uh-teh´-ee-nuh-bih′-lih-tee
attainable,ə-tān´-ə-b’l,uh-teh´-ee-nuh-bôô-l
attainableness,ə-tān´-ə-b’l-nes,uh-teh´-ee-nuh-bôô-l-neh-s
attainder,ə-tān´-dẽr,uh-teh´-ee-n-derh
attained,ə-tānd´,uh-teh´-ee-n-d
attaining,ə-tān´-iŋ,uh-teh´-ee-nih-eeng
attainment (attainments),ə-tān´-mənt (s),uh-teh´-ee-n-meh-n-t (s)
attaint,ə-tānt´,uh-teh´-ee-n-t
attar,at´-ẽr,åh´-terh
attempt (attempts),ə-təmpt (s),uh-teh´-m-pt (s)
attemptable,ə-təmpt´-ə-b’l,uh-teh´-m-p-tuh-bôô-l
attempted,ə-təmpt´-ed,uh-teh´-m-p-teh-d
